timestamp,gps_altitude,altimeter_1_altitude,altimeter_2_altitude,ok1,ok2,estimatedHeight
332,45.6653,0,0,0,0,0
333,45.6652,0,0,0,0,0
334,45.665,0,0,0,0,0
335,45.6651,0,0,0,0,0
336,45.6605,0,0,0,0,0
337,45.6605,0,0,0,0,0
338,45.6606,0,0,0,0,0
339,45.6606,0,0,0,0,0
340,45.6606,0,0,0,0,0
341,45.6606,0,0,0,0,0
342,45.6606,0,0,0,0,0
343,45.6604,0,0,0,0,0
344,45.6662,0,0,0,0,0
345,45.6662,0,0,0,0,0
346,45.6663,0,0,0,0,0
347,45.6662,0,0,0,0,0
348,45.6661,0,0,0,0,0
349,45.6661,0,0,0,0,0
350,45.6661,0,0,0,0,0
351,45.6661,0,0,0,0,0
352,45.6662,0,0,0,0,0
353,45.6661,0,0,0,0,0
354,45.6718,0,0,0,0,0
355,45.6717,0,0,0,0,0
356,45.6639,0,0,0,0,0
357,45.6638,0,0,0,0,0
358,45.6639,0,0,0,0,0
359,45.6639,0,0,0,0,0
360,45.6639,0,0,0,0,0
361,45.6639,0,0,0,0,0
362,45.6639,0,0,0,0,0
363,45.6638,0,0,0,0,0
364,45.6696,0,0,0,0,0
365,45.6696,0,0,0,0,0
366,45.6695,0,0,0,0,0
367,45.6695,0,0,0,0,0
368,45.6696,0,0,0,0,0
369,45.6695,0,0,0,0,0
370,45.6695,0,0,0,0,0
371,45.6695,0,0,0,0,0
372,45.6695,0,0,0,0,0
373,45.6695,0,0,0,0,0
374,45.6694,0,0,0,0,0
375,45.6792,0,0,0,0,0
376,45.6711,0,0,0,0,0
377,45.6713,0,0,0,0,0
378,45.6712,0,0,0,0,0
379,45.6712,0,0,0,0,0
380,45.6713,0,0,0,0,0
381,45.6712,0,0,0,0,0
382,45.6713,0,0,0,0,0
383,45.6713,0,0,0,0,0
384,45.6713,0,0,0,0,0
385,45.6809,0,0,0,0,0
386,45.6809,0,0,0,0,0
387,45.681,0,0,0,0,0
388,45.6809,0,0,0,0,0
389,45.6809,0,0,0,0,0
390,45.681,0,0,0,0,0
391,45.6809,0,0,0,0,0
392,45.681,0,0,0,0,0
393,45.6809,0,0,0,0,0
394,45.6809,0,0,0,0,0
395,45.6808,0,0,0,0,0
396,45.6893,0,0,0,0,0
397,45.6894,0,0,0,0,0
398,45.6894,0,0,0,0,0
399,45.6894,0,0,0,0,0
400,45.6894,0,0,0,0,0
401,45.6894,0,0,0,0,0
402,45.6895,0,0,0,0,0
403,45.6894,0,0,0,0,0
